round,method,score,best_score,params,controller_values,controller_counts
3,hb,0.24441311064323912,0.28086013523829095,"{'n_estimators': 229, 'max_depth': 18}","{'random': np.float64(-0.4382797295234181), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': np.float64(-0.5111737787135218)}","{'random': 1, 'optuna': 1, 'sh': 1, 'hb': 1}"
4,random,0.22219108973116244,0.28086013523829095,"{'n_estimators': 100, 'max_depth': None}","{'random': np.float64(-0.49694877503054663), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': np.float64(-0.5111737787135218)}","{'random': 2, 'optuna': 1, 'sh': 1, 'hb': 1}"
5,random,0.23433954269361204,0.28086013523829095,"{'n_estimators': 150, 'max_depth': None}","{'random': np.float64(-0.5084061548912897), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': np.float64(-0.5111737787135218)}","{'random': 3, 'optuna': 1, 'sh': 1, 'hb': 1}"
6,random,0.25881984231303407,0.28086013523829095,"{'n_estimators': 50, 'max_depth': None}","{'random': np.float64(-0.5018946950119503), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': np.float64(-0.5111737787135218)}","{'random': 4, 'optuna': 1, 'sh': 1, 'hb': 1}"
7,random,0.2505653632516838,0.28086013523829095,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(-0.5012896107088867), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6364620714172063), 'hb': np.float64(-0.5111737787135218)}","{'random': 5, 'optuna': 1, 'sh': 1, 'hb': 1}"
8,sh,0.19439744005655896,0.28086013523829095,"{'n_estimators': 50, 'max_depth': 20}","{'random': np.float64(-0.5012896107088867), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6238335956520442), 'hb': np.float64(-0.5111737787135218)}","{'random': 5, 'optuna': 1, 'sh': 2, 'hb': 1}"
9,random,0.2809086745679617,0.28086013523829095,"{'n_estimators': 100, 'max_depth': None}","{'random': np.float64(-0.49077178406808497), 'optuna': -0.49967683371611293, 'sh': np.float64(-0.6238335956520442), 'hb': np.float64(-0.5111737787135218)}","{'random': 6, 'optuna': 1, 'sh': 2, 'hb': 1}"
0,random,0.9583368809422449,-1,"{'n_estimators': 50, 'max_depth': 20, 'criterion': 'entropy'}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.0, 'rf_sh': 0.0, 'rf_hb': 0.0, 'svm_random': 0.0, 'svm_optuna': 0.0, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 0, 'rf_sh': 0, 'rf_hb': 0, 'svm_random': 0, 'svm_optuna': 0, 'svm_sh': 0, 'svm_hb': 0}"
1,optuna,0.9587571049640015,0.9583368809422449,"{'n_estimators': 83, 'max_depth': 19, 'criterion': 'entropy'}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': 0.0, 'rf_hb': 0.0, 'svm_random': 0.0, 'svm_optuna': 0.0, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 0, 'rf_hb': 0, 'svm_random': 0, 'svm_optuna': 0, 'svm_sh': 0, 'svm_hb': 0}"
2,sh,0.9545817145817146,0.9587571049640015,"{'n_estimators': 200, 'max_depth': 5, 'criterion': 'entropy'}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': 0.0, 'svm_random': 0.0, 'svm_optuna': 0.0, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 0, 'svm_random': 0, 'svm_optuna': 0, 'svm_sh': 0, 'svm_hb': 0}"
3,hb,0.9583368809422449,0.9587571049640015,"{'n_estimators': 108, 'max_depth': 13, 'criterion': np.str_('gini')}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': 0.0, 'svm_optuna': 0.0, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 0, 'svm_optuna': 0, 'svm_sh': 0, 'svm_hb': 0}"
4,random,0.966680950665625,0.9587571049640015,"{'kernel': 'linear', 'C': 0.1}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': np.float64(0.93336190133125), 'svm_optuna': 0.0, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 1, 'svm_optuna': 0, 'svm_sh': 0, 'svm_hb': 0}"
5,optuna,0.9583368809422449,0.966680950665625,"{'C': 0.14303921478742737, 'kernel': 'linear'}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': np.float64(0.93336190133125), 'svm_optuna': 0.9166737618844898, 'svm_sh': 0.0, 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 1, 'svm_optuna': 1, 'svm_sh': 0, 'svm_hb': 0}"
6,sh,0.9664335664335664,0.966680950665625,"{'kernel': 'linear', 'C': 1}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': np.float64(0.93336190133125), 'svm_optuna': 0.9166737618844898, 'svm_sh': np.float64(0.9328671328671327), 'svm_hb': 0.0}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 1, 'svm_optuna': 1, 'svm_sh': 1, 'svm_hb': 0}"
7,hb,0.9666127430112104,0.966680950665625,"{'C': 0.5738726472772443, 'kernel': np.str_('linear')}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': np.float64(0.93336190133125), 'svm_optuna': 0.9166737618844898, 'svm_sh': np.float64(0.9328671328671327), 'svm_hb': np.float64(0.9332254860224207)}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 1, 'svm_optuna': 1, 'svm_sh': 1, 'svm_hb': 1}"
8,random,0.966680950665625,0.966680950665625,"{'kernel': 'linear', 'C': 0.1}","{'rf_random': np.float64(0.9166737618844898), 'rf_optuna': 0.9175142099280029, 'rf_sh': np.float64(0.9091634291634292), 'rf_hb': np.float64(0.9166737618844898), 'svm_random': np.float64(0.93336190133125), 'svm_optuna': 0.9166737618844898, 'svm_sh': np.float64(0.9328671328671327), 'svm_hb': np.float64(0.9332254860224207)}","{'rf_random': 1, 'rf_optuna': 1, 'rf_sh': 1, 'rf_hb': 1, 'svm_random': 2, 'svm_optuna': 1, 'svm_sh': 1, 'svm_hb': 1}"
